condition,episodes,success,success_rate,wilson_95_low,wilson_95_high,robustness_retention
nominal,20,10,0.5,0.2992949144298199,0.7007050855701801,1.0
brightness_085_115,20,11,0.55,0.3420820083075997,0.7418049791429071,1.1
rgb_noise_std4,20,9,0.45,0.25819502085709295,0.6579179916924003,0.9
camera_dropout_50,20,4,0.2,0.0806563532712,0.41602172202575993,0.4
occlusion_fraction25,20,4,0.2,0.0806563532712,0.41602172202575993,0.4
action_delay_2,20,8,0.4,0.21880396741419272,0.613422057684794,0.8
friction_low_1p2,20,8,0.4,0.21880396741419272,0.613422057684794,0.8
friction_high_1p8,20,11,0.55,0.3420820083075997,0.7418049791429071,1.1
